Number,Letter,Species name
0,Bare,Bare ground
1,Hagr,Haplopappus gracilis
2,Erab,Eriogonum abertianum
3,Gusa,Gutierrizia sarothrae
4,Erle,Erograstis lehmanniana
5,Acco,Acacia constricta
6,Taau,Talinum aurantianum
7,Rock,Bare rock
8,Mupo,Muhlenbergia porteri
9,Eptr,Ephedra trifurca
10,Mata,Machaeranthera tanaecefolia
11,Sisp,Sida spinosa
12,Crco,Croton corymbulosa
13,Arad,Aristida adscensnis
14,Trpu,Tridens pulchellum
15,Taan,Talinum angustissimum
16,Debr,Delea brachystachys
17,Yucca,Yucca elata ?
18,Spco,Sporobolus contractus
19,Zipu,Zinnia pumila
20,Popa,Portulaca parvula
21,Arlo,Aristida longiseta
22,Boba,Bouteluoa barbata
23,Tila,Tidestromia lanuginosa
24,Arha,Aristida homulosa
25,Nothing,
26,Sipr,Sida procumbens
27,Caba,Cassia bauhinoides
28,Hate,Haplopappus tenuisectus
29,Acgr,Acacia gregii
30,Hean,Helianthus annua
31,Soel,Solanum elaeagnifolium
32,Babi,Bahia biternata
33,Boar,Boutoluoa aristidoides
34,Erdi,Erigeron divergens
35,Spb,(to be determined)
36,Bote,Boerhaavia terreyana
37,Bamu,Baileya multiradiata
38,Hasp,Haplopappus spinulosus
39,Chfr,Chenopodium frementii
40,Crpu,Crotolaria pumila
41,Sema,Setaria macrostacha
42,Pena,Perezia nana
43,Opuntia,sp.
44,Trca,Trichachne californica
45,Boin,Boerhaavia intermedia
46,Flce,Flourensia cernua
47,Ampa,Amaranthus palmeri
48,Brde,Brayulinea densa
49,Amar,Ambrosia artemisiifolia
50,Both,Bothriochloa barbinodis
51,Eula,Eurotia lanata
52,Lyto,Lycium torreyi
53,Pain,Parthenicum incanum
54,Coer,Commelina erecta
